name,abstract,title
Miftahul Hilmi,"The intergalactic matter in the universe undergoes a phase transition from neutral to ionized state in the first billion years, termed as ""cosmic reionization”. Lyman-break galaxies (LBG) are the leading candidate sources for producing the necessary ionizing radiation. Unfortunately, photometric selections of high-redshift LBGs are potentially subject to contamination from low/intermediate redshift galaxies with a prominent 4000 Å Balmer break that may have observer-frame spectral energy distributions mimicking a Lyman-break. To investigate in a novel way the impact of contamination, we study the spatial correlation between intermediate (z ~ 1.3 — 2) and high redshift (z ~ 6 — 8) galaxies in Hubble Space Telescope large-area surveys and link it to the leakage fraction. We compare the observed correlations for various Hubble Space Telescope surveys to outcomes from Monte Carlo simulations of leakage. Our results indicate that while ultradeep observations in the Hubble eXtreme Deep Field appear to have negligible contamination, larger area surveys such as the CANDELS GOODS-S and BoRG might have underestimated the purity of photometric samples.",A Novel Analysis of Contamination in Lyman Break Galaxy Samples at z ~ 6 − 8: Spatial Correlation with Intermediate-redshift Galaxies at z ~ 1.3 − 2
Ming Jian Teh,"We apply a semi-analytic particle tagging technique to high-resolution N-body simulations of galaxy clusters in order to explore the kinematic properties of cluster galaxies and the diffuse intracluster light. We calibrate the model through comparisons to the observed Fundamental Plane of surviving cluster satellites. In this poster, we report work in progress on predicting the projected velocity dispersion profiles of massive clusters, correlations between ICL origin, stellar populations and kinematics, and developing methods to detect and characterize ICL substructure using kinematic tracers, such as planetary nebulae and globular clusters.",Simulations of diffuse light kinematics in massive galaxy clusters
Monserrat Martinez-Marin,"From ground-based telescope observations, we have detected a large number of massive disk-like galaxies at redshifts z>3. Understanding how these galaxies build up their mass of around 10**11 within the 1 to 2 Gyrs of the universe is crucial to understand galaxy formation and hierarchical simulations. We present a sample of 17 massive around 10**11 galaxies at 3<z<4 based on deep H and K−band spectra using the Keck/MOSFIRE and VLT/KMOS near-infrared spectrographs. We find high-velocity dispersion of order 255 km/s based on [OIII] and Hbeta emission lines. We combine these with size measurements based on HST/WFC3 F160W imaging to infer dynamical masses. The small effective radius of 2.9 +- 0.15 is broadly consistent with the high stellar masses. The UVJ rest frame colors show that our sample is composited by star-forming galaxies and the [OIII]/Hbeta ratios. The mass excitation plot determines the presence of AGNs, which can influence the rapid quenching experience by massive galaxies in the early universe. The dynamical masses are consistent with the stellar masses for a Chabrier initial mass function (IMF). Future imaging and spectroscopic observations with resolved kinematics using the upcoming James Webb Space Telescope could further, constrain the formation mechanisms of these massive galaxies.  ",Prevalence of AGN in Disk-like Massive galaxies at redshift 𝑧 ∼ 3 − 4
Nicha Leethochawalit,"I will discuss the James Webb Space Telescope/NIRCam-led determination of 7<z<9 galaxy properties based on broadband imaging as part of the GLASS-JWST Early Release Science program. This is the deepest dataset acquired at these wavelengths to date. We robustly identify 13 galaxies with SNR>8 in F444W from 8 arcmin2 of data at m< 28 from a combination of dropout and photometric redshift selection. I will present how their star formation main sequence is consistent with predictions from simulations. I will also introduce an analytical framework to constrain main-sequence evolution at z<7 based on galaxy ages and basic assumptions, through which we find results consistent with expectations from cosmological simulations. If time allows, I will also mention the number density of these sources and whether their UV luminosity function is consistent with those previously determined from Hubble Space Telescope data. ",Properties of 7<z<9 galaxies derived from NIRCam/JWST
Pavel E. Mancera Piña (1),"Understanding the relation between the observed properties of galaxies and those theoretically expected from their parent dark matter haloes is one of the major goals of present-day astrophysics. In this context, the stellar-to-halo mass relation (SHMR) is one of the most powerful benchmarks of galaxy evolution models. Rotation curve decomposition provides one of the best constraints on the SHMR of disc galaxies in the local Universe. However, at higher redshifts, this technique remains somewhat unexploited, owing to the difficulty in obtaining reliable rotation curves. I will present new results on the SHMR of disc galaxies at z=1, when the Universe was roughly its current age. The results are based on a set of robust rotation curves  from non-parametric state-of-the-art kinematic modelling of resolved IFU observations and robust mass modelling within a Bayesian framework. In contrast to recent claims, our rotation curves remain flat out to the outermost observed radii. I will present a comparison between the observed SHMR and its theoretical counterpart from abundance-matching, highlighting their similarities and discrepancies and discussing the physical processes behind them. I will highlight how understanding these results is crucial to benchmark the SHMR and other scaling relations in the era of JWST.",The dark matter haloes of disc galaxies at z=1
Pavel E. Mancera Piña (2),"Mass and angular momentum are two of the most fundamental parameters regulating the evolution of disc galaxies (e.g. their size, morphology, stellar and gas content) through cosmic time, as seen since early models of galaxy formation. While the relation between stellar mass and stellar specific angular momentum has been well studied in the literature at z<2, its baryonic counterpart (which  provides a more robust and integral view of angular momentum in galaxies in different mass regimes) remains relatively unexplored even at z=0, providing no benchmark for upcoming studies at high z. In this talk, I will present results regarding the baryonic specific angular momentum of nearby disc galaxies, which we have recently derived using a large sample of galaxies with the highest available quality in their stellar surface brightness profiles and gas kinematics. We find that the relation between the baryonic mass (M_bar) and the baryonic specific angular momentum (j_bar) of disc galaxies is a well defined, unbroken power law across four orders of magnitude in M_bar and j_bar, with spiral and dwarf galaxies lying along the same sequence, opposite to previous claims. Our relation also implies that disc galaxies at z=0 retain on average about 70% the value of the specific angular momentum of their dark matter haloes. Moreover, we find a new scaling relation between the gas content of galaxies and their mass and angular momentum. The plane defined by these quantities has an extremely low intrinsic scatter, making our new relation one of the tightest empirical scaling relations of galaxies. Even extreme galaxies like ""super-spiral"", ""super-thin"", or ""ultra-diffuse"" galaxies follow this relation rather closely, highlighting the fundamental nature of the new scaling law. This scaling law can be directly used to test the outcomes of models and simulations, and will provide a crucial comparison benchmark for upcoming high-z observations. I will briefly discuss the possible physical mechanisms that give rise (or not) to such relation, in particular those related with gas disc instabilities.",The baryonic specific angular momentum of nearby disc galaxies
Preetish Mishra,"Classic galaxy formation models predict a fundamental link between galaxy size and halo virial radius. Several past studies (Kravtsov 2013, Sommerville et al. 2018) have reported a single linear relation between halo radius and sizes of galaxies of different mass and morphologies. However, these studies have employed abundance matching ansatz to map observed galaxies onto simulated dark matter haloes which involves various assumptions regarding galaxy-halo connection. In this work, we re-examine the relation between sizes of galaxies and dark matter haloes using weak gravitational lensing which provides a direct way of probing dark matter distribution around luminous galaxies. Our sample consists of ~270,000 galaxies more massive than logM*=9 and within z<0.3 drawn from Subaru-HSC survey PDR2.  We measure the galaxy half-light radius by fitting a single Sersic light profile to galaxy images and find galaxy size-stellar mass relation. We divide our sample galaxies into bins of stellar mass and obtain corresponding stacked weak lensing signals. We model the signals to infer stellar mass-halo mass relation. Finally, we combine galaxy size - stellar mass relation and stellar mass - halo mass relation to map galaxy sizes onto dark matter haloes. We find that the galaxy size - halo radius relation is not linear and depends on the stellar mass of galaxies. The ratio of galaxy size/halo radius decreases by a factor of two as one moves from low mass dwarf/disk galaxies to high mass early-type galaxies. These qualitative trends do not change even if we use different stellar mass - halo mass relations from previous works. Our results set the low redshift benchmark on the inherent differences between low-mass disks and high-mass early-type galaxies with respect to their parent dark matter haloes. Similar work at higher redshifts using space-based missions like JWST will be crucial for understanding the buildup of such differences in halo properties of disks and early-type galaxies.  ",Stellar mass dependence of galaxy size-halo radius relation revealed by Subaru-HSC weak lensing measurements
Rachel Cochrane,"I will show how galaxy formation simulations can help guide and interpret observations. I will present a sample of simulated massive high-redshift galaxies drawn from FIRE-2, the state-of-the-art in zoom-in cosmological hydrodynamical simulations. Using sophisticated radiative transfer techniques, we have derived predictions for the full rest-frame far-ultraviolet-to-far-infrared Spectral Energy Distributions of these simulated galaxies, as well as extremely well-resolved maps of their multi-wavelength emission. This suite of synthetic observations enables more robust comparison with observations. I will illustrate the range of projects ongoing with the dataset using several examples, including a study of the relation between physical galaxy size and the extent of the emission at multiple wavelengths and a study of the robustness of inferring dust mass from dust continuum emission. Finally, I will discuss our progress in improving the efficiency of mapping simulations to 'observer space' using a new emulator technique. ",Resolving high redshift galaxies with observations and simulations 
Roberto Maiolino,"I will present the early results from the NIRSpec GTO programme focussing on its multi-object spectroscopic programme, which is the most extensive NIRSpec-MOS programme in Cycle 1. By the time of the conference sensitive spectra will already be obtained for more than a thousand galaxies from z~1.5 out to z>9, opening a new window on the exploration of early galaxy formation. A large fraction of the observed galaxies will be early disc systems or disc progenitors. NIRSpec's sensitivity and spectral range will access stellar and nebular diagnostics which have been impossible to observe from ground so far, hence enabling an unprecedented characterisation of the physical properties of the early phases of galaxy formation. On behalf of the NIRSpec-GTO team, I will illustrate the early results of our programme and discuss the implications for our understanding of the early phases of the evolution of the stellar populations, of the chemical enrichment of galaxies, of their ISM properties and their co-evolution with AGNs. I will also discuss constraints and prospects on the detectability of PopIII stars in primeval galaxies.",Early galaxy formation explored with NIRSpec-JWST multi-object spectroscopy
Siou-Yu Chang,"We use deep learning techniques to analyze galaxy parameters with Hyper Suprime-Cam Subaru Strategic Program (HSC-SSP) Public Data Release 2 (PDR2) data. With Keras sequential model from Python package, we predict y-band data from g-,r-,i-, and z- band photometry, as well as estimate redshifts of galaxies from g-, r-, i-, z-, and y- band photometry. We optimize our inputs by normalizing fluxes, magnitudes, and colors. As a result, flux with individual galaxy normalization can obtain the best performance of r2 values (>0.95 for photometry estimation and >0.70 for redshift estimation). We separate the sample to different redshift bins as various classifications, but do not find better results than our regression models. In the future, we will also include five-band HSC imaging as input data, and apply our methods to global galaxy properties.",Investigating Galaxy Photometry and Redshift by Deep Learning
Themiya Nanayakkara,"The first JWST/NIRCam observations from JWST has revealed a very blue Universe. The UV slopes are found to be bluer than what traditional stellar population models can predict, leading to possibilities of stellar populations with high nebular continuum escape and/or very low-metallicities. JWST/NIRSpec observations demonstrate the extreme nature of the z>6 emission line galaxies with limited metal content. In my talk I will discuss early results from the JWST GLASS ERS survey and put these results in the context of the local extremely metal poor galaxies observed with VLT/MUSE and Keck/KCWI. Specially, I will discuss results from our campaign to spatially map the metallicity and element abundances of two lowest metallicity galaxies in the local Universe. Our results show the these galaxies with log(O/H)<2% solar and are Fe/O enhanced. I will show how we need to move to non-traditional supernovae enrichment mechanisms to explain the observed abundances and  implications there of for our understanding of the true nature of first galaxies in the Universe in the era of JWST. ",Towards the metal free early Universe with the JWST
Tim Rawle,"The integral field unit (IFU) on JWST NIRSpec is a powerful tool for delving into the spatial detail of near-infrared sources, but its single-object nature will make the compilation of large statistical samples beyond its purview. In contrast, the multi-object spectroscopy (MOS) mode of NIRSpec uses an array of individually-addressable micro shutters to observe up to several hundred targets simultaneously, and the diffraction-limited PSF long-wards of 2.4μm (80mas FWHM at 2.5μm) yields resolved information along-the-slit within each single 460mas shutter. Here, we present a compendium of spatially-resolved galaxy properties from the first MOS pointings of the NIRSpec GTO program, expected to execute this autumn in GOODS-S. This preliminary analysis will concentrate on quantifying the radial extent, clumpy-ness and internal gradients of emission-line disks for all spatially-resolved galaxies in the dataset, from z~2 up to and beyond z~6. These data will provide an initial assessment of the expected quality for the bulk of the GTO MOS program to come in 2023, both in terms of the prospects for a more comprehensive analysis including internal stellar population gradients, as well as an aid for appropriate corrections to global galaxy parameters.",Prospects for Obtaining Spatially-Resolved Galaxy Properties using the JWST NIRSpec Multi-Object Spectrograph (MOS) Mode
Tucker Jones,"Spatially resolved spectroscopy is an invaluable tool for studying the formation and evolution of disk galaxies at high redshifts. This technique is most powerful when combining the diffraction limit of large telescopes with strong gravitational lensing, providing the best possible spatial resolution and sensitivity. I will discuss observations of lensed star forming galaxies spanning the stellar mass range expected for Milky Way progenitors at “cosmic noon” (z~1-3). Measurements of the resolved kinematics, star formation, gas metallicity distribution, and outflows together show that energetic feedback from star formation plays a dramatic role in disk galaxy formation at these redshifts. This feedback may even destroy gaseous disks and alter dark matter density profiles at the lowest observed masses (Mstar < 10^9 Msun), as indicated by the data and comparison with cosmological simulations. The disk fraction shows a clear mass dependence, with rotation-dominated disk galaxies being more common at higher masses, although with high velocity dispersions (i.e. “thick disk” kinematics). I will also describe a novel JWST Cycle 1 program (GO-02136) which aims to establish the emergence of the first dynamically cold “thin disk” galaxies by mapping the kinematics of ~50 galaxies at z~0.5-1.5. JWST provides 5-10 times better spatial resolution than ground-based efforts at these redshifts, where moderately massive galaxies are expected to transition from turbulent thick disks to the thin spiral disks of the modern Hubble sequence. Data from this program will be immediately public, and we will additionally make processed data available as a resource for the community. ",A high-resolution view of disk galaxy formation at z~2
Akio Inoue,"MACS1149-JD1 is a confirmed z=9.1 galaxy. New ALMA observations spatially resolved the [OIII] 88 um line of this galaxy and enabled us to make a morpho-kinematic analysis. We have found a rotation-dominated signature from an empirical criterion. We have also performed a rotational disk model fitting, yielding a result consistent with the rotation-dominated interpretation. This example is the most distant case of a rotation disk.",Gas rotation in a z=9.1 galaxy revealed with ALMA
Ana Carolina Posses Nascimento,"We analyzed the spatial distribution and kinematics of the cold ionized gas of the normal star-forming galaxy COS-2987030247 at z = 6.8076, based on new high-resolution observations of the [C II] 158um line emission obtained with the Atacama Large Millimeter/submillimeter Array. These observations allowed us to compare the spatial distribution and extension of the [C II] and rest-frame UV emission, and model the [C II] line data-cube. The system is found to be composed of a main central source, a fainter north extension, and candidate [C II] companions located 10-kpc away. The [C II] velocity map reveals a velocity gradient in the north-south direction suggesting ordered motion, as commonly found in rotating-disk galaxies. If this rotating nature is confirmed, a low average velocity dispersion implies a dispersion lower than the expected value from observations and semi-analytic models of high redshift galaxies. Our findings support the necessity of kpc-scale resolved observations to unveil the nature and properties of the ISM in galaxies early in the Universe.",Structure and kinematics of a massive galaxy at z ~ 7
Ananda Hota,"AGN-feedback has been the most popular model to explain galaxy evolution through mergers. However in no sample the relic evidence of an AGN feedback has been age-dated to be of similar time-scale with the time since the decline of star formation in a post-merger,  post-starburst, early-type galaxy. In this context jet-galaxy interaction or understanding of how a jet interacts with the gaseous/stellar component of a galaxy is critical. Compared to relic evidence in optical (like Hanny’s Voorwerp) which are of a few ten thousand years old only, the relics of radio jets can be a few 100 million years old and diffuse out to far beyond the optical extent of galaxies, up to a few Mpc size. Hence to discover and study faint-fuzzy relic evidence from survey data, citizen science is not only most-effective but also has many other socio-scientific benefits. Hence, we employed a citizen science approach but to address the complexity of heterogeneous, multi-wavelength and multi-telescope data, and angular-scale sensitive radio-interferometric images we modified it to a research collaboratory of trained citizen scientists. After a face-to-face training to University-level science-educated citizens/students, hosted free-of-cost by  various research institutes, citizen scientists continue interactive-learning and discover exotic radio galaxies from their respective homes, primarily using free internet services. These preliminary discoveries are then followed up with the GMRT telescope. We shall present a few of our most-interesting discoveries. Such objects include new Speca-like rare spiral-host radio galaxies, new cases of rare jet-galaxy interactions, never-seen-before relic radio bubbles and filaments in elliptical-elliptical mergers etc. Speca which has avoided merger but successfully grown its spinning supermassive black hole to launch Mpc-scale jets are possibly the first massive disk galaxies formed with spinning black holes at early-Universe. We believe that Big Data being created by new surveys is a Big Opportunity, if we adopt this Collaboratory approach to citizen science which is considered a powerful medium for achieving Sustainable Development Goals by the United Nations.  Note that along with an Oral talk I can conduct a small Outreach or citizen science workshop to expose interested University-students to extragalactic astronomy similar to that I am conducting in IAU-Symposium-375 (Reference: https://multimessengerchakra2022.physics.uoc.gr/educational-programme/ )   ",From nearby Seyferts to high-z SPECAs: RAD@home citizen science discovering relics of AGN feedback
Bijaya Chandra Luitel,"The star formation rate (SFR) of a galaxy is related to its molecular gas mass by the Kennicutt-Schmidt law, which posits a power-law relationship between the two variables. Whilst this empirically derived law has previously been observed in galaxies over a wide range of redshift, we observed several galaxies at high redshift that show non-detections or only marginal detections of the usual gas mass tracer, the carbon monoxide (CO) J=1-0 transition. We fit a spectral energy distribution (SED), using data in the ultraviolet and optical bands from the Hubble space telescope and the millimetre bands from the Atacama Large Millimetre Array (ALMA) to our sample of galaxies in order to constrain their SFR, using which we make predicted (CO) J=1-0 maps. Thereafter, we compare our results with the observational non-detections.",CO non-detections of dusty Main Sequence galaxies at z~3
Chelsea Sharon,"Theoretical work suggests that AGN play an important role in ending star formation in massive galaxies. In addition to molecular outflows observed in the local universe, emission from very high-J CO rotational transitions have been a key piece of evidence for AGN directly affecting the molecular gas reservoirs that fuel star formation. However, very few observations exist of CO rotational lines past the peak of the CO spectral line energy distribution (SLED) for galaxies in the early universe. Here we will present ALMA observations of high-J CO rotational lines (J_upper>10) in several z>2 IR-bright galaxies. We will discuss the heterogenous results for the sample's AGN and AGN-free galaxies, as well as the unique spectral signatures that suggest AGN are affecting some of these galaxies' molecular gas.",Signatures of AGN Feedback in High-z Galaxies' Molecular Gas
Elham Eftekhari,"High-resolution Near-Infrared (NIR) spectroscopy of galaxies is one of the youngest branches of extragalactic astrophysics with huge scientific potential. It is opening new windows in our understanding of galaxy formation and evolution, and it will certainly have a major role in the JWST era. In our recent work, we assessed the long-believed explanation of the origin of strong CO absorptions in the NIR spectrum of massive ETGs, i.e. due to the substantial contribution from intermediate-age stellar populations. The evidence for this explanation is not robust and the scenario is in sharp contrast with the rather old populations of massive ETGs inferred from the studies in the optical range. We obtained the spectrum of the prototype of relic galaxies (low-redshift equivalents of compact massive disk galaxies at z~2), i.e. NGC1277, with the EMIR spectrograph at the largest telescope in the world operating in the NIR (i.e. the Gran Telescopio Canarias; 10.4m diameter) and compared the CO absorption features of this galaxy with the ones of a representative sample of massive ETGs. We ruled out intermediate-age stellar populations origin of CO-strong absorptions in massive ETGs, providing a better way to reconcile the picture that we get of galaxy formation and evolution in the NIR with the one from optical.",New insights into the puzzle of strong CO absorption features in massive ETGs from the NIR spectroscopy of the disk galaxy NGC1277
Enrico Di Teodoro,"I will present our latest results on the most massive disk galaxies in the local Universe. Using new HI observations of a sample of very massive disks (M_*>10^11 Msun), we derived extended HI rotation curves and mass models, and obtained robust estimates of their halo masses. We confirmed that massive galaxies lie on the continuation of the Tully-Fisher relation (mass-velocity) and of the Fall relation (angular momentum-mass), in both their stellar and baryonic versions, with no clear break or bend at the high-mass end. The connection between baryons and dark matter is studied through the stellar-to-halo mass relation. We observed that massive disc galaxies systematically inhabit less massive halos than predicted by abundance matching prescriptions, i.e. the ratio M_halo / M_* monotonically increases with mass and does not turn over at the high-mass end. We also found that discs retain a significant fraction of the halo specific angular momentum, with little or no dependence on mass. Our findings indicate that discs are a self-similar population of objects closely linked to their to dark matter halos. Our results point towards a picture where, differently from massive spheroids, massive discs grow efficiently throughout cosmic time, without experiencing disruptive events like strong feedback and/or major mergers. ",Scaling relations and dark matter halos of extremely massive spiral galaxies
Fatemeh Tabatabaei (1),"Investigating the thermal and non-thermal processes in galaxies is vital to understand their evolution over cosmic time.  This can be best studied by combining the emission observed in the optical and radio domains in galaxies. The JWST will soon resolve the evolution of the thermal processes by mapping ionized gas and dust in distant galaxies. These information combined with the upcoming deep SKA surveys will make a major break through in mapping the non-thermal processes and understanding their role in the evolution of galaxies. Based on our recent simulations, the SKA1-MID surveys will be able to trace the evolution history of spiral galaxies such as M51 and NGC 6946 back to a redshift of z=3. This study indicates that the non-thermal pressure inserted by cosmic rays and magnetic fields can have played an important role in the evolution of structures at earlier cosmic times.",Role of the ISM/IGM Energy Balance in Structure Formation and Evolution of Galaxies
Fatemeh Tabatabaei (2),"Resolved maps of the thermal and nonthermal radio continuum (RC) emission of distant galaxies are a powerful tool for understanding the role of the interstellar medium (ISM) in the evolution of galaxies. We simulate the RC surface brightness of present-day star forming galaxies in the past at $0.15<z<3$  considering two cases of radio size evolution: (1)~no evolution, and (2)~same evolution as in the optical. We aim to investigate the a)~structure of the thermal and nonthermal emission on kpc scales, b)~evolution of the thermal fraction and synchrotron spectrum at mid-radio frequencies ($\simeq$1-10\,GHz), and c)~capability of the proposed SKA1-MID reference surveys in detecting the RC emitting structures. The synchrotron spectrum flattens with $z$ causing curvature in the observed mid-radio SEDs of galaxies at higher $z$. The spectral index reported in recent observational studies agrees better with the no size evolution scenario. In this case, the mean thermal fraction observed at 1.4\,GHz increases with redshift by more than 30\% from $z=0.15$ to $z=2$ because of the drop of the synchrotron emission at higher rest-frame~frequencies. More massive galaxies have lower thermal fractions and experience a faster flattening of the nonthermal spectrum. The proposed SKA1-MID band~2 reference survey, unveils the ISM in M51- and NGC6946-like galaxies (with ${\rm M_{\star}}\simeq10^{10}\,{\rm M}_{\odot}$) up to $z=3$. This survey detects lower-mass galaxies like M33 (${\rm M_{\star}}\simeq10^{9}\,{\rm M}_{\odot}$) only at low redshifts $z\lesssim 0.5$. For a proper separation of the RC emitting processes at the peak of star formation, it is vital to include band~1 into the SKA1-MID reference surveys.",Evolution of thermal and nonthermal radio continuum emission on kpc scales--Predictions for SKA
Fernanda Roman de Oliveira,"Recent discoveries of dynamically cold disc galaxies at z > 4 have challenged galaxy formation models that predict, instead, chaotic systems as a consequence of copious gas accretion, mergers and efficient feedback. I will present 3D dynamical models of 4 of the most well-resolved galaxies with ALMA, seen in the [CII] 158 micron emission at z ~ 4.5. The sample is diverse in galaxy type and all galaxies show evidence of radial motions that could be due to minor mergers or gas accretion. However, we found that all of them host regularly rotating discs with gas velocity dispersions that are significantly lower than predicted by current cosmological hydrodynamical simulations with ratios of ordered-to-random motions (V/sigma) ranging from 2.6 to 9. We have also estimated the thickness of the gas discs and found that they are of the order of 1 kpc, similar to thick discs of local galaxies like the Milky Way. These findings show that dynamically cold discs can form earlier than previously thought and suggest that some thick discs could be formed in-situ in the early stages of galaxy formation.",Diverse dynamically cold discs at z ~ 4.5 as seen with ALMA
Francesca Rizzo,"The dynamics of high redshift galaxies reveals important clues on their formation and assembly, providing also strong constraints on galaxy formation models. Measurements of the gas rotation allow us to trace the distribution of the different matter components and study galaxy scaling relations. In contrast, measurements of the gas velocity dispersions give information about the turbulence within the interstellar medium, mainly driven by stellar feedback and gravitational instabilities. At the moment, dynamical studies of high-z galaxies have been obtained mainly using warm gas tracers (e.g. Halpha, [OII], [OIII]), which may be strongly affected by non-circular motions driven by inflows, outflow, and mergers.",The HUMBLE sample: galaxy dynamics at cosmic noon using ALMA observations of cold gas tracers
Golshan Ejlali,"Interstellar dust plays an important role in the formation of molecular gas and the heating and cooling of the interstellar medium. The spatial distribution of the mm-wavelength dust emission from galaxies is largely unexplored. The NIKA2 Guaranteed Time Project IMEGIN (Interpreting the Millimeter Emission of Galaxies with IRAM and NIKA2) has recently mapped the mm emission in the grand design spiral galaxy NGC6946. By subtracting the contributions from the free-free, synchrotron, and CO line emission, we map the distribution of the pure dust emission at 1.15mm and 2mm. Separating the arm/interarm regions, we find a dominant 2mm emission from interarms indicating the significant role of the general interstellar radiation field in heating the cold dust. Finally, we present maps of the dust mass, temperature, and emissivity index using the Bayesian MCMC modeling of the spectral energy distribution in NGC6946.",Dust Emission in Galaxies at Millimeter Wavelengths: Cooling of star forming regions in NGC6946
Helena Richie,"Large-scale computational modeling of galaxy evolution is challenging because many orders of magnitude in scale are physically relevant, from cosmological evolution on megaparsec (Mpc) scales to star formation occurring on parsec scales. Dust originates and evolves on the smallest of these scales, and its effects propagate throughout galaxies as it is transported, grown, and destroyed. Modeling these mechanisms can help us understand the many processes that the presence of dust regulates, such as star formation, galactic metal content, and more. Computational Hydrodynamics on paraLLel Architectures, or Cholla, is a hydrodynamics code that can be used to make extremely high resolution simulations of single galaxies. Thanks to its GPU-native nature, Cholla can simulate down to dx<5 pc at a fixed resolution across its entire simulation volume, making it the only code of its kind to fully capture the detailed structures of the interstellar medium (ISM) and galactic outflows simultaneously. Cholla has successfully simulated disk galaxies with star formation feedback-driven outflows, and shown how cool clouds can survive in these hot outflows by resolving the mixing layer between wind phases. Another aspect of this scenario that Cholla is well-positioned to shed light on is the survival of dust in these hot winds—although it originates in the late stages of stellar evolution in the ISM, dust is often observed in the circumgalactic media (CGMs) of galaxies. Could winds be responsible for transporting dust out of galaxies? The answer to this question has been unclear because of the high likelihood of dust destruction in hot gas, but it may be possible for cold clouds in winds to transport dust undisturbed. My work to develop and implement a self-consistent dust model in Cholla will give us new insight into the viability of this transport mechanism, and the conditions under which dust can survive in outflows.",The Dusty Universe -- Direct Simulation Of Dust On Galaxy Scales
Ikki Mitsuhashi,"Dust continuum morphologies of high redshift galaxies are essential for galaxy evolution as a tracer of obscured star formation. We report the dust size measurement of “typical” star-forming galaxies at z=4-6 as a part of the ALMA large program, CRISTAL. High-resolution and deep ALMA observations allow us to measure accurate dust continuum size of the less-dusty UV-selected galaxies at z=4-6 with an order of  magnitude fainter dust continuum fluxes (or FIR luminosities) than classical DSFGs. The measured dust continuum sizes are almost consistent with rest-frame UV sizes of these galaxies. The surface FIR densities are comparable with that of the extended components of the SMGs. These results suggest normal star-forming galaxies are forming their disks through their widespread star formation contrary to massive DSFGs, which show compact star formation in their central part. ",Resolved dust emission of UV-selected normal star-forming galaxies at z=4-6
Juan Diego Soler ,"We present a study of the filamentary structure in the neutral atomic hydrogen (HI) emission at 21 cm using the observation at 16.2 arcminutes resolution in the HI4PI survey across the Galactic plane and at 40-arcseconds resolution in The HI/OH/Recombination-line (THOR) survey in the first Galactic quadrant. We found that the Milky Way’s disk regions beyond ten kpc and up to roughly 18 kpc from the Galactic center display HI filamentary structures predominantly parallel to the Galactic plane. However, we found that the HI filaments are mostly perpendicular or do not have preferred orientation with respect to the Galactic plane for regions at lower Galactocentric radii. We interpret these results as the imprint of supernova feedback in the inner Galaxy and Galactic rotation and shear in the outer Milky Way. We also studied the carbon monoxide (CO) emission observations obtained in The Milky Way Imaging Scroll Painting (MWISP) survey. We found that the orientations of the filamentary structures traced by CO emission differed from those found in the HI emission. We consider this to indicate that the molecular structures do not simply inherit these properties from parental atomic clouds. Instead, they are shaped by local physical conditions, such as stellar feedback and magnetic fields.",The Galactic dynamics revealed by the filamentary structure in the atomic hydrogen emission toward the Milky Way’s disk
Mahsa Kohandel,"In the past decade, ALMA has been extraordinary in resolving spatially and spectrally the cold gas in the interstellar medium (ISM) of galaxies at z>4 through FIR emission lines such as [CII] at 158\mu m. Analyzing [CII] line kinematics observables have revealed hints of the regular rotation in high-z galaxies and in some cases existence of surprisingly evolved systems (with substantial support from rotation) in the very early universe (when it had less than a Giga year). With JWST in operation, we will soon have complimentary information about the ionized ISM of early galaxies through nebular emission lines such as the Hα line. With a load of data coming from observations, a solid prediction from theory is needed more than ever to help interpret the data. In this talk, I will introduce the SERRA suite of cosmological galaxy simulations which are tailored to the Epoch of Reionization (z>6). In particular, I will present our results analyzing the synthetic hyperspectral datacubes for the far-infrared [CII] and nebular Hα emission lines for SERRA galaxies which is the first attempt to have predictions on the dynamical state of EoR galaxies that will be (are) probed by JWST (ALMA). The questions I will touch upon are: I) When do galaxies form their disk structure in cosmological simulations? II) If the early disks exist, what are their observable signatures in FIR and nebular emission lines? III) Are high-z disks very turbulent structures or they are supported by ordered motions? IV) What are the main drivers of galaxy scale velocity dispersion in the early Universe?",Disk galaxy formation at the Epoch of Reionization - Bridging simulations and observations
