Problem,Solution
"How can planetary transits of bright stars, particularly by close-in Jupiters, be effectively detected?","The Kilodegree Extremely Little Telescope (KELT) project uses a small-aperture, wide-field automated telescope to survey a set of 26 x 26 degree fields, covering about 25% of the Northern sky and targeting stars in the range of 8<V<10 mag. The system hardware and software, as well as the quality of the observations, are described in the paper. KELT is able to achieve the necessary photometric precision to detect these planetary transits."
"How can the predicted gamma-ray emission from the Sun, which contributes to the diffuse extragalactic background, be detected and analyzed using available data?",A detailed study of the EGRET database using a time-dependent analysis that accounts for the effect of the emission from other sources. The technique has been tested on the moon signal and has found clear evidence for emission from the Sun and its vicinity. The observations are then compared with a model for the extended emission.
How can we detect and characterize the dust disk around the pre-main sequence M1 dwarf TWA 7?,"Using the SCUBA camera on the James Clerk Maxwell Telescope, dust emission at 850 and 450 micron was detected, confirming the presence of a cold dust disk around TWA 7. The mass of the disk was estimated to be 18 lunar masses (0.2 Earth masses) based on the 850 micron flux. The disk is comprised of dust at a range of temperatures. A model was proposed where the dust is at a single radius from the star, with a range of temperatures according to grain size."
"How can the properties of a black hole and its surrounding accretion disk be accurately determined using X-ray binary modeling, particularly when considering the ""color correction factor"" that accounts for the deviation of the local disk spectrum from a blackbody?","The paper proposes estimating the color correction factor observationally by modeling the disk spectrum with saturated Compton scattering. This approach fits the spectra well and yields reasonable values for the color correction factor. However, even the high-soft-state continuum, which is dominated by the disk emission, cannot be satisfactorily fitted by state-of-the-art disk models."
What is the nature and origin of the soft excess emission observed in the galaxy cluster Sersic 159-03?,"The soft excess emission is confirmed and its peak is located at the central cD galaxy. It fits both thermal and non-thermal models, but its spatial distribution does not match certain models. The properties of the soft excess emission are consistent with a non-thermal interpretation, possibly provided by an active galactic nucleus in the central cD galaxy."
How does the metallicity influence the transition from high-mass star formation mode to low-mass dominated mode in the universe?,"A new method for incorporating the radiative cooling from metals into adaptive mesh-refinement hydrodynamic simulations was used. The simulations showed a clear shift from high-mass star formation to low-mass dominated mode at a certain metallicity. This suggests that metals produced by the first stars led to this transition, with second generation stars producing a spectrum of lower mass stars."
What are the characteristics and potential classification of the super star clusters (SSCs) in the nuclear starburst of M82?,"Using high-resolution near-infrared spectroscopy, the stellar velocity dispersions of 19 SSCs were measured. The Virial Theorem was applied to derive the kinematic mass for 15 of the SSCs. The SSCs were found to have masses ranging from 2 x 10^5 to 4 x 10^6 solar masses, with a total population mass of 1.4 x 10^7 solar masses. Comparison with old Milky Way globular clusters suggests that the SSCs could be a population of potential globular clusters. The mass function for the SSCs was found to follow a power law fit with an index of gamma = -1.91 +/- 0.06, similar to the mass function of young SSCs in the Antennae galaxies."
What is the origin of the Milky Way's globular clusters that exhibit an unusually extended color distribution of stars in the horizontal-branch phase?,"These unusual globular clusters are distinct from normal ones in kinematics and mass, and are more massive and dominated by random motion. When these clusters are excluded, normal clusters in the inner halo show signs of dissipational collapse, which seems to have led to the formation of the disk. Normal clusters in the outer halo share kinematic properties with the unusual clusters, suggesting an accretion origin. This could be a starting point for more detailed investigations of the formation of the Milky Way, including early mergers, collapse, and later accretion."
"How can the missing satellite problem and the cusp problem be solved, and how can the coincidence of Omega_b and Omega_DM be explained?","Axinos, generated by the decay of the next-to-lightest supersymmetric particles from the leptonic Q-ball, become warm dark matter. This warm dark matter is suitable for solving the missing satellite problem and the cusp problem. The coincidence of Omega_b and Omega_DM is naturally explained in this scenario."
"What are the properties of Intermediate Polars (IPs) that evolve from long orbital periods to short orbital periods, and how does this evolution affect their magnetic moment?","The study uses phase-resolved spectroscopy and photometry of SDSS J233325.92+152222.1, an IP with the shortest known orbital period, to suggest that long-period IPs conserve their magnetic moment as they evolve towards shorter orbital periods. The dominant population of long-period IPs will likely end up as short-period IPs with spin periods a large fraction of their orbital periods."
What are the physical and chemical processes in the hot molecular core stage of high-mass star formation?,"Observations of the hot core G29.96-0.02 with the Submillimeter Array (SMA) at sub-arcsecond spatial resolution were made. The hot molecular core was resolved into six submm continuum sources. The study of ~80 spectral lines allowed the investigation of the molecular outflow(s), the core kinematics, the temperature structure of the region, and chemical effects. Interesting chemical spatial differentiations were found and potential causes of observed velocity patterns were discussed."
