Problem,Solution
What causes the wave-like breathing motion in the motion of stars in the Milky Way?,"The wave-like breathing motion in the motion of stars in the Milky Way is caused by the spiral arms that form during the interaction of two disk galaxies. The strength of this spiral pattern depends on the angle of inclination during the interaction. The strongest spiral pattern is induced by a prograde-prograde configuration of galaxy interaction. The spiral arms are transient density waves that form just after the pericenter passes and decay slowly after reaching maximum strength. The contracting motion in the disk is associated with the spiral arms, while the expanding motion is associated with the inter-arm region."
"How has the use of observation equipment in the Sarawak Mufti Department developed since its establishment in 1997, and what is the relationship between the observation equipment and the potential appearance of the Lunar Crescent?",The study uses qualitative methods to collect views of astronomers and analyze observation equipment and Lunar Crescent data. It found a direct relationship between observation equipment and the potential appearance of the Lunar Crescent.
"There is a conflict between observed planes of dwarf satellites around local galaxies and numerical simulations of similar galaxies, which challenges our accepted cosmology, the Lambda CDM paradigm.","The conflict can be resolved by simulating a larger volume while maintaining small-scale resolution to better capture inflow along cosmic filaments. Using the New Horizon simulation, it is found that about 30% of Milky Way-type systems have satellite planes."
"How can the standard cosmological model account for the existence of low-mass galaxies that lack dark matter, a phenomenon that contradicts the model's predictions and has led to the exploration of alternative theories?",The standard cosmological model can indeed account for galaxies lacking dark matter. This can be achieved through the use of advanced cosmological simulations like FIREbox and careful galaxy-identification techniques. The model suggests that extreme close encounters with massive neighbouring galaxies can lead to the observed lack of dark matter in certain low-mass galaxies.
"How does energetic feedback from star formation influence the formation and evolution of disk galaxies at high redshifts, and how can this be effectively studied?","Use spatially resolved spectroscopy combined with the diffraction limit of large telescopes and strong gravitational lensing to study lensed star forming galaxies. A new JWST Cycle 1 program will also be used to map the kinematics of ~50 galaxies at z~0.5-1.5, providing better spatial resolution than ground-based efforts. The data from this program will be made publicly available."
"What can the oldest stars in our Galaxy, particularly the metal-poor and carbon-enhanced metal-poor stars, tell us about the Early Universe and the formation of the Milky Way?","By studying the chemo-dynamical properties, Galactic distribution, and orbital properties of these stars, we can gain insights into the early Milky Way and its formation, as well as the early Universe."
"How can we understand the past merger history of external galaxies and their stellar population properties, given that spectroscopic observations are mainly confined to their central regions?","Using the cosmological, hydrodynamical simulation TNG50, the stellar mass build-up in the central regions of galaxies can be studied. This simulation shows that the nuclear regions of satellite galaxies survive during mergers and deposit ex-situ material in the center of their host. The simulation also predicts that ex-situ stars are distinct from in-situ stars. By comparing the results from SDSS to realistic mock observations from TNG50, we can identify challenges in measuring and predicting stellar population properties. This approach provides evidence that galaxy centers can be used to probe past merger events."
"Understanding the early phases of galaxy formation, including the evolution of stellar populations, the chemical enrichment of galaxies, their ISM properties, and their co-evolution with AGNs, has been challenging due to the inability to observe stellar and nebular diagnostics from the ground.","The NIRSpec GTO programme, with its sensitivity and spectral range, allows for the observation of these diagnostics, enabling an unprecedented characterisation of the physical properties of the early phases of galaxy formation. The programme also provides insights into the detectability of PopIII stars in primeval galaxies."
How do galaxies with less dark matter than predicted by the standard Cold Dark Matter theory form?,Galaxies with less dark matter form through the collision of gas-rich dark matter subhalos. The amount of dark matter in the resulting galaxy depends on the speed of the collision and the mass of the dark matter subhalos.
What are the initial conditions that lead to the formation of Globular Clusters (GCs) and how can we model their formation in different cosmogonies?,The authors apply parameterized models of primordial GC formation to Extended Press-Schechter merger trees and constrain the allowed parameter space through statistical comparison to the observed relation between cluster number and halo mass. They also introduce a new version of the halo mass relation and explore several models in CDM and WDM cosmogonies.
"How can the distinct, orthogonal rotation signatures of globular clusters in M31 be explained, and what do they suggest about the history of accretion events?","Through kinematic analysis, it is proposed that the distinct rotation signatures suggest two separate accretion events, one ancient and one modern. This is further supported by a new analysis of the inner globular clusters of Andromeda, which finds the outer halo kinematics imprinted on this inner sample."
"How do environmental effects influence star-forming activities in low-mass galaxies in high-density regions, and how does this compare to more massive galaxies and those in the field?","By making deep narrow-band observations of two proto-clusters and the general field in COSMOS at z~2, it was found that star-forming activities in low-mass galaxies in high-density regions are enhanced, likely due to increased interactions between galaxies. These interactions can drive gas towards the galaxy center, leading to a central starburst. Unique objects, likely very young galaxies in formation with intense star formation but extremely low stellar mass, were also discovered."
"The baryonic counterpart of the relation between stellar mass and stellar specific angular momentum in disc galaxies is not well studied, even at z=0.","The study presents results on the baryonic specific angular momentum of nearby disc galaxies, finding a power law relation between the baryonic mass and the baryonic specific angular momentum. A new scaling relation between the gas content of galaxies and their mass and angular momentum was also found, which can be used to test the outcomes of models and simulations."
"How do massive and very massive stars, particularly those with low metallicity, contribute to cosmic evolution and what is their potential role as progenitors of Pair-instability supernovae (PISNe)?","By determining the final masses of these stars and studying their nucleosynthesis, we can understand their impact on the Universe’s enrichment and their potential as PISNe progenitors. PISNe, due to their high explosion energies, can be observed to high redshifts, providing a probe of the Universe prior to reionization."
How do massive disk-like galaxies at redshifts z>3 build up their mass within the 1 to 2 Gyrs of the universe?,"By observing a sample of these galaxies using deep H and K−band spectra and near-infrared spectrographs, we can infer their dynamical masses and understand their formation. The presence of AGNs and the consistency of dynamical masses with the stellar masses for a Chabrier initial mass function (IMF) provide further insights. Future observations with the James Webb Space Telescope could provide more constraints on the formation mechanisms of these galaxies."
"How can we better understand the formation and characteristics of dusty star-forming galaxies (DSFGs), particularly those with rotationally-supported molecular disks and widespread star formation?","By using the Planck All-Sky Survey to Analyze Gravitationally-lensed Extreme Starbursts (PASSAGES) and the Atacama Large Millimeter/submillimeter Array (ALMA), we can map the gas kinematics at sub-kpc scales and perform dynamical modeling of CO. This, along with the view of active star formation from dust continuum from ALMA and the distribution of existing stars provided by Hubble, allows us to construct a picture of how stellar mass is built up over time in massive disk galaxies. Additionally, the James Webb Space Telescope (JWST) can reveal regions of galaxies that are heavily reddened and attenuated by dust, providing further insights into DSFGs."
How can we directly compare the Milky Way with other disk galaxies when the data from the Milky Way and other galaxies are not in the same format?,A new method has been developed to create a mock IFS data cube of the Milky Way using the SSP spectral libraries and E-Galaxia. This tool can be used to directly compare the Milky Way with other disk galaxies and identify signs of formation processes in the detailed chemo-dynamical structure of disks.
"How has the thermodynamic behaviour of interstellar gas, which influences the stellar initial mass function (IMF), evolved over time due to the increase in metal abundance in the Universe?","The study examines the gas thermodynamics in collapsing dusty molecular clouds at different metallicities and in different ISM conditions. It reveals that the transition from the initial regime to the modern regime is accompanied by a significant change in the characteristic stellar mass, which is sensitive to the adopted abundances of elements like C and O. This study helps in understanding the impact of the IMF on our understanding of the metal-poor Universe."
"How can we understand the evolution of galaxies, including the Milky Way, by combining observations and models, and how does this relate to the latest models of the Milky Way's past?","The paper proposes combining new analytic models with high redshift surveys of molecular and ionised gas and local galactic/extragalactic archeology studies. It discusses these observational results within the framework of theoretical models for the formation of the local stellar age-velocity dispersion relation, the size-scale height relation, and history of metallicity gradients in local group galaxies."
"The chemical properties of stars in the tidal tails of globular clusters are not well-studied, and it is unclear how these properties contribute to the structure formation of the Milky Way.",The study uses Gaia and APOGEE data to search for and investigate the tidal tail around globular cluster M92. The study applies a matched filter algorithm and the t-SNE algorithm to identify and analyze the chemical properties of cluster member stars. The findings suggest that some stars in the Galactic halo may have originated from the tidal disruption of globular clusters.
"How can we determine the number density and kinematics of Gaia DR3 stars in a specific volume, and use this information to test the MOND hypothesis?","We used certain types of stars as tracers and incorporated the completeness of Gaia DR3 into the number density calculation. We calculated the vertical kinematics of the tracers and used the Boltzmann and Poisson equations to predict the number density of tracers and calculate the Galactic potential. We used a multi-component density model, dark matter, and a thin dark disk to calculate the Galactic density. These results were used to calculate the critical acceleration from the MOND framework, which was then compared with existing literature to validate the MOND hypothesis."
"How can we better understand the assembly history of the Milky Way, including remnants of ancient dwarf galaxy accretion events and the Galaxy’s 3D dark matter distribution?",Generate mock catalogues that match the selection criteria of DESI MWS using cosmological magneto-hydrodynamic ΛCDM zoom simulations and the phase-space smoothing method. These catalogues can be compared to observational data to understand the features in the galactic stellar halo and the sensitivity of the survey to galaxy-to-galaxy variance and alternative models of dark matter.
"How can the formation of low surface brightness dwarf galaxies, which pose challenges to galaxy formation theory and potentially provide new constraints on the nature of dark matter, be explained?","A new formation mechanism, called the ""ghost galaxy"" scenario, is proposed. In this scenario, inefficient radiative cooling prevents star formation in the dominant dark matter potential of low mass halos, and most of their stellar mass is acquired through mergers. This is supported by merger trees and the CoCo cosmological N-body simulation, which show that mass assembly histories of this kind do occur for low-mass halos in lambda CDM."
How do spiral arms influence star formation and gas-phase metal abundance enhancement in disk galaxies from high redshift to present day?,"Using spatially resolved IFU data from the MAGPI survey, the study found that spiral arms indicate younger stellar age and higher gas-phase metallicity. The star forming rate is higher in spiral arms and decreases with further distance to the arms. Asymmetric distributions of ISM properties were observed in the downstream and upstream, possibly due to the difference in the mixing strength of spiral arms. Further analysis of more MAGPI galaxies and a combined study of observations on nearby spiral galaxies will provide more insights into the long-term effects of spiral arms on the evolution of disk galaxies."
"The orbital composition of the stars of the bar and associated features in disk galaxies, especially the X feature, is not well understood.","Using high resolution N-body simulations of barred galaxies to track individual stellar orbits, the study identifies the mechanisms populating the X feature and enhances understanding of bars through cosmological time."
"What is the origin of strong CO absorptions in the NIR spectrum of massive ETGs, and how can we reconcile the picture of galaxy formation and evolution in the NIR with the one from optical?","By obtaining and comparing the spectrum of the prototype of relic galaxies with a sample of massive ETGs, it was concluded that intermediate-age stellar populations are not the origin of CO-strong absorptions in massive ETGs. This provides a better way to reconcile the picture of galaxy formation and evolution in the NIR with the one from optical."
"What is the nature of Andromeda's inner stellar halo and disk, and how does its formation history compare to that of the Milky Way?","By analyzing data from the SPLASH and PHAT surveys, including measurements for over 3500 individual red giant branch stars, the speaker presents evidence supporting the connection between the formation of Andromeda's inner stellar halo and disk, different channels driving the formation of the stellar halo along the major versus minor axes, and a uniformly thick structure for the disk."
"How can we better understand the formation and assembly of the Galaxy, particularly in terms of the masses of the first stars, the universality of the IMF, and the chemistry and dynamics of the Galaxy?","By conducting a chemo-dynamical investigation of the most metal-poor stars (MMPs) in the Galactic bulge, using data from the Pristine Inner Galaxy survey and high-resolution Gemini/GRACE observations. This approach allows for the examination of the Galaxy in a multi-dimensional space, providing insights into the presence of ancient and disrupted globular clusters in the inner Galaxy, the formation of extremely metal-poor structures in the early Universe, and the accretion of stars from fossil dwarf galaxies."
"How do bars form in galaxies, particularly in complex environments with multiple factors at play, and why do some simulations fail to accurately reproduce these formations?","By studying 13 high-resolution MW-mass galaxies from the FIRE2 simulation, we can understand how bars form and evolve. We can also use predictions from isolated galaxy simulations to explain the differences between the bars in different simulations. Improved stellar feedback and AGN in the FIRE3 simulations may result in bars more similar to those observed."
"How can we make a direct, quantitative comparison between the intrinsic properties generated by cosmological hydrodynamics simulations and the measured properties of observed galaxies?","A forward modelling tool called SKIRT was developed to generate realistic synthetic images, SEDs and spectra for galaxies from cosmological hydrodynamics simulations. These mock observations, which account for different stellar populations, the effects of the dusty ISM, and the 3D geometry of galaxies, can be directly compared to observational data."
"How can we accurately study gas and star formations in high redshift galaxies, such as SDSS J0901+1814?","By obtaining and analyzing the galaxy's continuum emission at 1.4 GHz and 3 GHz from VLA, conducting observations at both A and B configurations for S-band and A configuration for the L-band, and using the new tclean tool in CASA for pixel-by-pixel spectral indices measurement. The analysis also involves the use of a Gaussian smoothing technique on both the alpha and error maps, and SED fitting analysis."
"How can we explain the complex, position-dependent patterns of age and chemical abundances observed in different parts of our Galaxy?","A multi-phase accretion and star formation scenario is proposed, highlighting the importance of an early quenching process in the transition from thick to thin disk formation and a recent accretion and starburst event in the thin disk formation. The radial properties of the recent gas accretion are quantified using APOGEE data."
"How can we understand the formation and evolution of the Milky Way by studying the chemical and physical properties of stars, particularly those with low metal content, in the Galactic Bulge?","Conduct a detailed chemo-dynamical study, named The COMBS Survey, of about 350 low-metal-content stars in the inner Galaxy using VLT/FLAMES spectra, and an ongoing survey of stars with high carbon but low metal content."
How can we identify and characterize the stellar debris of past accretion events in the Milky Way's halo?,"By using the Gaia DR3 data-set and a parameter-free clustering algorithm, we can identify over-densities in integrals of motion space (IOM), which represent merger debris. These over-densities are then characterized using metallicity and chemical abundance information, revealing the presence of 7 main dynamical groups and a large number of smaller clumps with an accreted origin."
"Current galaxy formation models predict chaotic systems due to gas accretion, mergers and feedback, but recent discoveries of dynamically cold disc galaxies challenge these models.","The author presents 3D dynamical models of these galaxies, showing evidence of radial motions and regularly rotating discs with lower gas velocity dispersions than predicted. The findings suggest that dynamically cold discs can form earlier and some thick discs could be formed in-situ in the early stages of galaxy formation."
How can we understand the morpho-kinematics of the distant galaxy MACS1149-JD1?,"By using new ALMA observations to resolve the [OIII] 88 um line of the galaxy, a rotation-dominated signature was found. A rotational disk model was also fitted to the data, confirming the rotation-dominated interpretation. This represents the most distant case of a rotation disk."
"Estimating the dark matter distribution in dwarf spheroidal galaxies is challenging due to the mass-anisotropy degeneracy, especially when using the second-order Jeans analysis.","The study proposes the extension of spherical Jeans modeling by incorporating the fourth-order velocity moments, assuming dynamical equilibrium and a constant velocity anisotropy. This approach allows for a more flexible stars’ line-of-sight velocity distribution, covering thin-tailed to heavy-tailed distributions. The model was tested using mock data and showed improved results, with better constraints on velocity anisotropy and the inner dark matter density slope."
"How can we accurately predict y-band data and estimate redshifts of galaxies using g-, r-, i-, z-, and y- band photometry?","By using deep learning techniques and the Keras sequential model from Python, we can analyze galaxy parameters with HSC-SSP PDR2 data. We optimize our inputs by normalizing fluxes, magnitudes, and colors. In the future, we plan to include five-band HSC imaging as input data and apply our methods to global galaxy properties."
"Understanding the formation and evolution of galaxies under the ΛCDM model is a key unresolved question in astronomy. Traditional models often oversimplify the study by focusing on the statistical connection between dark matter haloes and galaxies, and summarizing the formation environment with crude statistics.","The Equivariant Graph Normalizing Flows Model, a graph neural network, offers a new approach. It treats progenitor systems as graphs, with individual progenitors as nodes. This model can robustly recover the distributions of the progenitors, including their masses, merging redshifts and pairwise distances at redshift z = 2 conditioned on their z = 0 properties. It also enables other tasks, such as inferring the property at z=0 given the configuration at z=2, detecting anomalies, and identifying subtle correlations of progenitor features."
"There is a lack of observations of CO rotational lines past the peak of the CO spectral line energy distribution (SLED) for galaxies in the early universe, which are crucial for understanding the role of AGN in ending star formation.","The paper presents ALMA observations of high-J CO rotational lines in several z>2 IR-bright galaxies and discusses the heterogenous results for the sample's AGN and AGN-free galaxies, as well as the unique spectral signatures that suggest AGN are affecting some of these galaxies' molecular gas."
How can simulations of galaxy formation assist in guiding and interpreting observations of high-redshift galaxies?,"By using advanced radiative transfer techniques to derive predictions for the Spectral Energy Distributions of simulated galaxies and creating well-resolved maps of their multi-wavelength emission. This allows for a more robust comparison with actual observations. Additionally, a new emulator technique is being developed to improve the efficiency of mapping simulations to 'observer space'."
"How can we understand the early stages of galactic and chemical evolution, particularly in ultra-faint dwarf galaxies, when previous studies have been limited to stars within the core of these galaxies?","By studying the detailed chemical abundances of a population of stars outside the core region of the Tucana II ultra-faint dwarf galaxy, we can gain insights into the early evolution of relic dwarf galaxies. This includes the influence of early, strong feedback or galactic mergers, delayed chemical evolution, and the presence of a massive, spatially extended dark matter halo."
How can we identify potential host galaxies for long gamma ray bursts (LGRBs) using the IllustrisTNG simulations?,The study uses the TNG100 run of the IllustrisTNG simulations to create a sample of potential LGRB host galaxies. The approach involves finding mergers where one progenitor has low metallicity and the descendant galaxy has a large star formation rate. The sample is statistically analysed to compare with observational LGRB host samples and refine the model.
"How can the star formation rate (SFR) of high redshift galaxies be determined when there is little or no detection of the usual gas mass tracer, the carbon monoxide (CO) J=1-0 transition?","By fitting a spectral energy distribution (SED) to a sample of galaxies using data from the Hubble Space telescope and the Atacama Large Millimetre Array (ALMA), the SFR can be constrained. This can then be used to make predicted (CO) J=1-0 maps, which can be compared with the observational non-detections."
How can we identify and trace the substructures in the Milky Way's stellar halo?,"By using the LAMOST and Gaia telescopes, we can obtain a large sample of distant halo stars with full phase space parameters. This allows for the identification of substructures in the integrals of motion space."
"The technical details of how the Milky Way galaxy absorbs smaller satellite systems, a process known as accretion, are not fully understood.","The study uses the Latte/FIRE-2 zoom-in cosmological simulations to examine the observable properties of disrupted satellite systems in Milky Way-like galaxies. It identifies stellar mass and time of accretion as key parameters that influence the resulting spatial distribution, orbital energy, and chemical compositions of the stars in the stellar debris of such mergers. The study also provides a theoretical blueprint to guide observational results on the identification of disrupted satellites in the Milky Way."
"How do radial color gradients within galaxies, which arise from stellar population gradients, relate to galaxy evolution models?","By measuring color gradients for low-redshift galaxies using photometry from the DESI Legacy Imaging Survey, we can provide statistical constraints on galaxy evolution models. Our results support the theory that galaxies assemble inside-out through dissipative collapse and star formation is strongly suppressed by AGN feedback above a critical mass."
"How can we understand the process of formation of Milky Way-like galaxies and which simulation - Bullock & Johnston's, Aquarius, or Auriga - is closer to the Milky Way structure?","By comparing the Bullock & Johnston's, Aquarius, and Auriga simulations, examining their structure and diversity, and explaining how models formed in each simulation, we can understand the process of formation of Milky Way-like galaxies and determine which simulation is closer to the Milky Way structure."
"How can we gain insights into the early star formation and assembly of the Milky Way, particularly the role of metal-poor stars in the Galactic bulge region?","The Pristine Inner Galaxy Survey (PIGS) uses metallicity-sensitive narrow-band CaHK photometry to identify metal-poor stars in the Galactic bulge region. The survey has derived individual distances and orbits for these stars, allowing for a study of their contribution to the disky bulge and a pressure-supported component. The data from PIGS and other surveys is helping to set important constraints on the formation of the ancient inner Galaxy."
The single-object nature of the integral field unit (IFU) on JWST NIRSpec limits its ability to compile large statistical samples of near-infrared sources.,"The multi-object spectroscopy (MOS) mode of NIRSpec, which uses an array of micro shutters to observe multiple targets at once, can provide a solution. The first MOS pointings of the NIRSpec GTO program are expected to execute this autumn in GOODS-S. The preliminary analysis will focus on the radial extent, clumpiness, and internal gradients of emission-line disks for all spatially-resolved galaxies in the dataset, from z~2 up to and beyond z~6. These data will provide an initial assessment of the expected quality for the bulk of the GTO MOS program to come in 2023, and will also help in making appropriate corrections to global galaxy parameters."
How can we understand the nature and reality of halo substructures in the Milky Way and place constraints on the accretion history and mass assembly history of the Galaxy?,By using data from the APOGEE and Gaia surveys to examine APOGEE targets in various substructures in the stellar halo and studying the distributions of all substructures and the abundance of elements in different nucleosynthetic pathways.
How can we quantitatively investigate the origin of galactic structures from simulations using the stellar orbit distribution?,"A novel population-orbit superposition method is applied to IFU data of hundreds of galaxies. This method allows for the extraction of a galaxy’s internal stellar orbit distribution, and the age and metallicity of different orbital structures. The results enable systematic comparisons of galaxy structures with simulations. The stellar orbit distribution of Illustris TNG50 galaxies matches that of the CALIFA galaxies remarkably well, especially in the fractions of dynamical cold/hot orbits as a function of galaxy mass. This provides a clean interface for investigating the origin of galactic structures from simulations."
"How can we study faint structures in the outskirts of galaxies, including tails, shells, haloes, and thick disks, and improve our understanding of ultra faint galaxies and the mass-size relation?","By using deep-level optical and near-IR imaging and specialised data analysis techniques, we can reach low levels of surface brightness in images from space or ground-based telescopes. Our recent work includes detecting satellites and tails, studying ultra faint galaxies, and reducing the scatter in the mass-size relation by using better defined samples and a new definition of galaxy size. These techniques can be used for upcoming imaging from LSST, Euclid, or JWST."
"How does the specific angular momentum of galaxies relate to their stellar mass, the spin of their dark matter halo, and the mass of the supermassive black hole at their centre?","Using the TNG100 simulation of the IllustrisTNG project, the study investigates the stellar specific angular momenta of about 12,000 central galaxies. The study finds that the specific angular momentum is influenced by the spin of the dark matter halo and the mass of the supermassive black hole at the galactic centre. It also finds that halo spin plays a significant role in determining galaxy sizes."
"How can we accurately model the evolution of dwarf galaxies, reproducing a broad range of their observed properties and behaviors?","A simple model is proposed that can reproduce a wide range of observed properties of dwarf galaxies, including the stellar mass-halo mass relation, relations between stellar mass and gas phase, stellar metallicities, gas mass, size, and star formation rate. The model can also forward model the population of the Milky Way satellites, taking into account various observational and physical effects. It suggests that the observed luminosity function favors early reionization of the local volume and can reproduce the radial distribution of the Milky Way satellites without the use of orphans. The model also finds that the observed planar distribution of the Milky Way satellites and correlation of their orbital poles is unusual, but statistically consistent with LCDM."
How can we understand the capabilities and limitations of the JWST in observing high redshift galaxies and interpreting the resulting data?,"The paper proposes a solution that involves constraining the performance of JWST at resolving the kinematics of galaxies in the early universe, developing and optimizing modelling tools for the interpretation of JWST data, performing kinematic analysis on realistic mock NIRSpec observations using simulated data, comparing the information from warm and cold gas tracers, and testing a classification method based on the morphology of the position-velocity diagram."
How can we accurately determine stellar labels for stars observed in MUSE fields using a data-driven approach?,"By using the data-driven Payne model, originally used on LAMOST observations, on MUSE observations due to their similar spectral properties. This method allows for the automatic determination of stellar parameters for all stars in these fields and can also be applied to data collected by other spectrographs with similar resolution to LAMOST. The upcoming BlueMUSE and MAVIS will provide access to a new range of chemical abundances with higher precision."
"How are the events of the Dinoyo inscription from 760 AD, the making of the Agastya statue, and the visit of comet 1P/Halley to Earth in the same year connected?","By reviewing the contents of the Dinoyo inscription, conducting literature studies, and analyzing aspects of chronology, geography, biography, and mythology, a hypothesis was proposed that connects these events. The initial results of the research, particularly the chronological and geographical aspects, support this hypothesis."
"How and when does the environment start to influence the structure, morphology, and physical properties of galaxies, particularly in protoclusters, the progenitors of today's galaxy clusters?","By compiling catalogs of four protoclusters and characterizing the size and apparent morphologies of Hα-emitting star-forming galaxies (HAE), it was found that the environment does not significantly affect the size of galaxies during the star-forming phase. However, peculiar morphologies, possibly indicative of mergers, were more prevalent in protoclusters than in the field."
"What are the origins and evolution of dust properties in galaxies, and how do they contribute to different extinction curves observed in galaxies today?","A dust evolution model is used in conjunction with cosmological zoom simulations and the SMUGGLE interstellar medium and stellar feedback model. This model evolves mass and size distributions of dust grains, taking into account their formation, growth, destruction, and reshaping processes. The focus is on understanding the drastically different extinction features in the Milky Way and the Magellanic Clouds."
"What is the process and sequence of galaxy formation, particularly the formation of dwarf spheroidal galaxies from dwarf disc galaxies of higher masses?",Conduct an investigation using numerical simulations to determine at which halo masses we have a predominantly rotationally supported dwarf galaxy and at which masses we have to expect spheroidal objects from the beginning.
"The origin and composition of stars in the bar and associated features in disk galaxies, especially the X feature, are not well understood.","By using high resolution N-body simulations of barred galaxies, tracing the origin of stars that form the X structure through resonance passage and dynamical bar evolution, and tracking individual stellar orbits, we can identify the formation and evolution of the X feature and better understand bars through cosmological time."
What causes the formation of the Vast Polar Structure (VPOS) in the Milky Way and other galaxies?,A numerical calculation was conducted to find the condition that reproduces the stable orbits of particles consistent with the VPOS. The study suggests that a stable orbital plane with precession around the rotating axis appears within a rotating potential model.
Understanding the accretion history and disruption of very low mass systems and the origins of stars in Milky Way streams.,Use high resolution spectral observations and data from the Gaia mission and Pristine survey to study stars in these systems and streams.
